timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,Latency,IdleTime,Connect
1534797104687,1100386,10.0.2.225 Network I/O iface=enp1s0f4:unit=mb:bytessent,,,,,true,,0,0,0,0,0,0,0
1534797105687,8791,10.0.2.225 CPU combined,,,,,true,,0,0,0,0,0,0,0
1534797105687,1074598,10.0.2.225 Network I/O iface=enp1s0f4:unit=mb:bytessent,,,,,true,,0,0,0,0,0,0,0
1534797106688,11697,10.0.2.225 CPU combined,,,,,true,,0,0,0,0,0,0,0
1534797106688,793570,10.0.2.225 Network I/O iface=enp1s0f4:unit=mb:bytessent,,,,,true,,0,0,0,0,0,0,0
1534797107689,9116,10.0.2.225 CPU combined,,,,,true,,0,0,0,0,0,0,0
1534797107689,803884,10.0.2.225 Network I/O iface=enp1s0f4:unit=mb:bytessent,,,,,true,,0,0,0,0,0,0,0
1534797108690,11477,10.0.2.225 CPU combined,,,,,true,,0,0,0,0,0,0,0
1534797108690,929144,10.0.2.225 Network I/O iface=enp1s0f4:unit=mb:bytessent,,,,,true,,0,0,0,0,0,0,0
1534797109691,3212,10.0.2.225 CPU combined,,,,,true,,0,0,0,0,0,0,0
1534797109691,311198,10.0.2.225 Network I/O iface=enp1s0f4:unit=mb:bytessent,,,,,true,,0,0,0,0,0,0,0
1534797110691,11290,10.0.2.225 CPU combined,,,,,true,,0,0,0,0,0,0,0
1534797110691,650522,10.0.2.225 Network I/O iface=enp1s0f4:unit=mb:bytessent,,,,,true,,0,0,0,0,0,0,0
1534797111692,1400,10.0.2.225 CPU combined,,,,,true,,0,0,0,0,0,0,0
1534797111692,185996,10.0.2.225 Network I/O iface=enp1s0f4:unit=mb:bytessent,,,,,true,,0,0,0,0,0,0,0
1534797112693,16802,10.0.2.225 CPU combined,,,,,true,,0,0,0,0,0,0,0
1534797112693,907173,10.0.2.225 Network I/O iface=enp1s0f4:unit=mb:bytessent,,,,,true,,0,0,0,0,0,0,0
1534797113694,11901,10.0.2.225 CPU combined,,,,,true,,0,0,0,0,0,0,0
1534797113694,858244,10.0.2.225 Network I/O iface=enp1s0f4:unit=mb:bytessent,,,,,true,,0,0,0,0,0,0,0
1534797114695,10039,10.0.2.225 CPU combined,,,,,true,,0,0,0,0,0,0,0
1534797114695,714494,10.0.2.225 Network I/O iface=enp1s0f4:unit=mb:bytessent,,,,,true,,0,0,0,0,0,0,0
1534797115696,7692,10.0.2.225 CPU combined,,,,,true,,0,0,0,0,0,0,0
1534797115696,826007,10.0.2.225 Network I/O iface=enp1s0f4:unit=mb:bytessent,,,,,true,,0,0,0,0,0,0,0
1534797116696,7265,10.0.2.225 CPU combined,,,,,true,,0,0,0,0,0,0,0
1534797116696,674787,10.0.2.225 Network I/O iface=enp1s0f4:unit=mb:bytessent,,,,,true,,0,0,0,0,0,0,0
1534797117697,6794,10.0.2.225 CPU combined,,,,,true,,0,0,0,0,0,0,0
1534797117697,808692,10.0.2.225 Network I/O iface=enp1s0f4:unit=mb:bytessent,,,,,true,,0,0,0,0,0,0,0
1534797118698,9580,10.0.2.225 CPU combined,,,,,true,,0,0,0,0,0,0,0
1534797118698,798323,10.0.2.225 Network I/O iface=enp1s0f4:unit=mb:bytessent,,,,,true,,0,0,0,0,0,0,0
1534797119699,11481,10.0.2.225 CPU combined,,,,,true,,0,0,0,0,0,0,0
1534797119699,1044167,10.0.2.225 Network I/O iface=enp1s0f4:unit=mb:bytessent,,,,,true,,0,0,0,0,0,0,0
1534797120700,7304,10.0.2.225 CPU combined,,,,,true,,0,0,0,0,0,0,0
1534797120700,1069206,10.0.2.225 Network I/O iface=enp1s0f4:unit=mb:bytessent,,,,,true,,0,0,0,0,0,0,0
1534797121701,7938,10.0.2.225 CPU combined,,,,,true,,0,0,0,0,0,0,0
1534797121701,629823,10.0.2.225 Network I/O iface=enp1s0f4:unit=mb:bytessent,,,,,true,,0,0,0,0,0,0,0
1534797122701,3851,10.0.2.225 CPU combined,,,,,true,,0,0,0,0,0,0,0
1534797122701,240195,10.0.2.225 Network I/O iface=enp1s0f4:unit=mb:bytessent,,,,,true,,0,0,0,0,0,0,0
1534797123702,8724,10.0.2.225 CPU combined,,,,,true,,0,0,0,0,0,0,0
1534797123702,765593,10.0.2.225 Network I/O iface=enp1s0f4:unit=mb:bytessent,,,,,true,,0,0,0,0,0,0,0
1534797124703,16111,10.0.2.225 CPU combined,,,,,true,,0,0,0,0,0,0,0
1534797124703,797557,10.0.2.225 Network I/O iface=enp1s0f4:unit=mb:bytessent,,,,,true,,0,0,0,0,0,0,0
1534797125704,13810,10.0.2.225 CPU combined,,,,,true,,0,0,0,0,0,0,0
1534797125704,1082220,10.0.2.225 Network I/O iface=enp1s0f4:unit=mb:bytessent,,,,,true,,0,0,0,0,0,0,0
1534797126704,14901,10.0.2.225 CPU combined,,,,,true,,0,0,0,0,0,0,0
1534797126704,949505,10.0.2.225 Network I/O iface=enp1s0f4:unit=mb:bytessent,,,,,true,,0,0,0,0,0,0,0
1534797127705,14471,10.0.2.225 CPU combined,,,,,true,,0,0,0,0,0,0,0
1534797127705,574206,10.0.2.225 Network I/O iface=enp1s0f4:unit=mb:bytessent,,,,,true,,0,0,0,0,0,0,0
1534797128706,11615,10.0.2.225 CPU combined,,,,,true,,0,0,0,0,0,0,0
1534797128706,754463,10.0.2.225 Network I/O iface=enp1s0f4:unit=mb:bytessent,,,,,true,,0,0,0,0,0,0,0
1534797129707,14051,10.0.2.225 CPU combined,,,,,true,,0,0,0,0,0,0,0
1534797129707,745971,10.0.2.225 Network I/O iface=enp1s0f4:unit=mb:bytessent,,,,,true,,0,0,0,0,0,0,0
1534797130708,19947,10.0.2.225 CPU combined,,,,,true,,0,0,0,0,0,0,0
1534797130708,1014223,10.0.2.225 Network I/O iface=enp1s0f4:unit=mb:bytessent,,,,,true,,0,0,0,0,0,0,0
1534797131708,10796,10.0.2.225 CPU combined,,,,,true,,0,0,0,0,0,0,0
1534797131709,879143,10.0.2.225 Network I/O iface=enp1s0f4:unit=mb:bytessent,,,,,true,,0,0,0,0,0,0,0
1534797132709,19267,10.0.2.225 CPU combined,,,,,true,,0,0,0,0,0,0,0
1534797132709,875341,10.0.2.225 Network I/O iface=enp1s0f4:unit=mb:bytessent,,,,,true,,0,0,0,0,0,0,0
1534797133710,21132,10.0.2.225 CPU combined,,,,,true,,0,0,0,0,0,0,0
1534797133710,1029286,10.0.2.225 Network I/O iface=enp1s0f4:unit=mb:bytessent,,,,,true,,0,0,0,0,0,0,0
1534797134711,4509,10.0.2.225 CPU combined,,,,,true,,0,0,0,0,0,0,0
1534797134711,157972,10.0.2.225 Network I/O iface=enp1s0f4:unit=mb:bytessent,,,,,true,,0,0,0,0,0,0,0
1534797135712,13020,10.0.2.225 CPU combined,,,,,true,,0,0,0,0,0,0,0
1534797135712,453734,10.0.2.225 Network I/O iface=enp1s0f4:unit=mb:bytessent,,,,,true,,0,0,0,0,0,0,0
1534797136713,17686,10.0.2.225 CPU combined,,,,,true,,0,0,0,0,0,0,0
1534797136713,782486,10.0.2.225 Network I/O iface=enp1s0f4:unit=mb:bytessent,,,,,true,,0,0,0,0,0,0,0
1534797137714,14054,10.0.2.225 CPU combined,,,,,true,,0,0,0,0,0,0,0
